data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2025-06-09 09:44:20.986499;0;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;David Mclaughlin;masculino;cartão de crédito
2025-06-09 13:07:32.751856;1;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Franklin Carmona;masculino;boleto
2025-06-09 13:41:55.243181;2;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Matthew Thomas;masculino;pix
2025-06-10 06:58:08.116799;3;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Curtis Anderson;masculino;pix
2025-06-10 08:06:52.751068;4;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Christopher Adams;masculino;boleto
2025-06-10 08:49:06.744282;5;Florianópolis;Tiago Lima;Smartphone Samsung Galaxy;Paul Muzyka;masculino;pix
2025-06-10 10:43:09.198187;6;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Ahmad Edwards;masculino;pix
2025-06-10 11:23:09.471302;7;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Doris Frederick;feminino;cartão de crédito
2025-06-10 11:55:47.785920;8;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Richard Cunningham;masculino;cartão de crédito
2025-06-10 12:49:52.885976;9;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Tracy Greenwald;feminino;dinheiro
2025-06-10 14:20:11.103082;10;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Patricia Johannsen;feminino;pix
2025-06-11 07:43:26.152726;11;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Ryan Moon;masculino;cartão de crédito
2025-06-11 07:56:07.589888;12;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Deborah Bane;feminino;dinheiro
2025-06-11 08:40:56.269242;13;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Terry Denton;feminino;pix
2025-06-11 10:39:07.394099;14;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Timothy Justis;masculino;boleto
2025-06-11 12:31:10.951842;15;Florianópolis;Tiago Lima;Smartphone Samsung Galaxy;Marie Do;feminino;pix
2025-06-11 12:39:55.200662;16;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Treva Mata;feminino;boleto
2025-06-11 13:32:09.599850;17;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Robert Whitenack;masculino;boleto
2025-06-11 13:39:35.092885;18;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;John Brooke;masculino;pix
2025-06-11 14:55:44.733144;19;São Paulo;Lucas Pereira;Tablet Apple Ipad;Gerald Bishop;masculino;pix
2025-06-12 09:01:43.394884;20;São Paulo;Lucas Pereira;Tablet Apple Ipad;Shannon Cook;masculino;pix
2025-06-12 10:03:10.034481;21;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Ruth Lokken;feminino;dinheiro
2025-06-12 10:50:12.834691;22;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Tracy Gonzalez;feminino;pix
2025-06-12 16:09:11.810543;23;São Paulo;Ana Oliveira;Smartwatch Garmin;Timothy Dininno;masculino;pix
2025-06-12 16:30:52.053056;24;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Pamela Carter;feminino;cartão de crédito
2025-06-13 06:30:13.854663;25;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Renee Wood;feminino;pix
2025-06-13 06:47:09.893959;26;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Richard Greenan;masculino;dinheiro
2025-06-13 07:18:12.391014;27;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Teresa Huang;feminino;cartão de crédito
2025-06-13 10:09:53.042768;28;Porto Alegre;Mariana Gomes;Smartwatch Garmin;Christopher Quinlan;masculino;dinheiro
2025-06-13 11:40:44.586931;29;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Matthew Yoder;masculino;boleto
2025-06-13 15:50:54.897085;30;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Andrew Parado;masculino;cartão de crédito
2025-06-13 16:15:14.533795;31;Florianópolis;Gabriela Santos;Tablet Apple Ipad;Jerome Thigpen;masculino;pix
2025-06-14 06:58:52.136240;32;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Patricia Woods;feminino;cartão de crédito
2025-06-14 07:08:10.662041;33;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Gregory Santi;masculino;cartão de crédito
2025-06-14 08:39:31.062810;34;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Kelsey Mosley;feminino;pix
2025-06-14 10:35:09.303747;35;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Dionne Crouse;feminino;dinheiro
2025-06-14 11:29:50.776801;36;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Wilford Ball;masculino;pix
2025-06-14 12:03:20.989028;37;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Henry Alvarez;masculino;cartão de crédito
2025-06-14 12:11:10.536746;38;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Pauline Introini;feminino;boleto
2025-06-14 12:11:51.626991;39;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Rachelle Munoz;feminino;cartão de crédito
2025-06-14 13:24:56.149085;40;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Arthur Patton;masculino;cartão de crédito
2025-06-14 14:07:17.621497;41;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Joyce Jones;feminino;cartão de crédito
2025-06-15 06:11:18.589224;42;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Doyle Peters;masculino;cartão de crédito
2025-06-15 09:52:20.034048;43;São Paulo;Ana Oliveira;Smartwatch Garmin;Brandi Grimaldo;feminino;boleto
2025-06-15 10:04:09.315262;44;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Martha Capponi;feminino;cartão de crédito
2025-06-15 12:23:51.774999;45;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Rodney Newman;masculino;boleto
2025-06-15 15:35:25.884655;46;São Paulo;Ana Oliveira;Smartwatch Garmin;Gina Syvertsen;feminino;boleto
2025-06-16 05:48:53.932090;47;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Adam Hubbard;masculino;pix
2025-06-16 08:16:55.680154;48;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Margarita Hawkins;feminino;dinheiro
2025-06-16 12:40:13.909252;49;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;David Janicki;masculino;cartão de crédito
